id,name,amount,deadline,notes,levelofstudy,link,gender,citizenship,yearofstudy,schoolsattended,heritage,schoolofstudy,fieldofstudy,regionofresidence,courseload,regionofstudy,academicstanding,activities,financialneed,contactinfoname,contactinfoemail,contactinfophone,contactinfoaddress
15,Eileen Williston Bursary,"$1,500","April 01, 2024",Open to a full-time student enrolled and majoring in the English program or other programs related to careers in creative writing or journalism. Preference given to mature women students. Minimum GPA of 2 required.,No,https://www.scholarshipscanada.com//Scholarships/4070/Eileen-Williston-Bursary,Female,Any,All Years,Any School,N/A,University of Northern British Columbia,"English Creative Writing, English Language and Literature, General, Journalism","International or Visa Student, Canada",Full-time,British Columbia,N/A,n/s,Yes,Awards and Financial Aid,awards@unbc.ca,(250) 960-6319,"3333 University Way, Prince George, BC, Canada.  V2N 4Z9"
18,Julie Cole Bursary for Studies in Occupational Health and Safety,$500,"March 15, 2024","The loss of Julie Cole in 2020 left a hole in the safety community of British Columbia. An external auditor for the Manufacturing Safety Alliance of BC and health and safety manager, a principal consultant and safety trainer, and Manager of Health and Wellness for School District 20, Julie was a vital member of the safety community.

The Alliance has created a new bursary in her honour to support a student who shares Julie�s passion for Occupational Health and Safety.


This award will support a student pursuing a career in Occupational Health and Safety through post-secondary studies with demonstrated genuine financial need.

The Manufacturing Safety Alliance of BC is a leading provider of health and safety services in BC. An industry-funded organization with a board of directors elected from BC manufacturing industries, the Alliance is dedicated to ensuring Occupational Health and Safety professionals of the future are well qualified to provide industry advice and leadership.



Applications will be accepted from students enrolling in a full-time, accredited Occupational Health and Safety program at college or university in BC (BCIT, UBC)
Applications will be accepted from high school graduates and those furthering their education in health and safety graduate studies as outlined in the list of qualified programs
Applicants will submit abstracts showing their academic results
Applicants will submit an essay of 750 to 1,200 words explaining why workplace health and safety is important to them, and why they are pursuing this course of study
Applicants will include information about their financial need in their application
Applicants will be Canadian citizens or permanent residents residing in the province of B.C.",No,https://www.scholarshipscanada.com//Scholarships/66102/Julie-Cole-Bursary-for-Studies-in-Occupational-Health-and-Safety,N/A,Canada,All Years,Health,N/A,"British Columbia Institute of Technology, Langara College, Simon Fraser University, Simon Fraser University - Faculty of Applied Sciences, The University of British Columbia - Vancouver, University of Northern British Columbia�more, University of Victoria�less","Hazardous Materials Information Systems Technology/Technician, Industrial Safety Technology/Technician, Occupational Safety and Health Technology/Technician, Quality Control and Safety Technologies/Technicians, Other",British Columbia,Full-time,British Columbia,N/A,Volunteer,Yes,Jennifer Wiebe,manufacturing@safetyalliancebc.ca,16047959595,"101 � 44981 Commercial Ct, Chilliwack, BC, Canada.  V2R 0E6"
19,Association of Professional Engineers & Geoscientists of Saskatchewan (APEGS) Entrance Bursary (Engineering),"$4,000","March 15, 2024","1 bursary of $4,000.00 will be presented to an entering Engineering student and 1 bursary of $4,000.00 will be presented to an entering Engineering student with a preference to a student who is self-declared Indigenous.The bursary will be presented to the University of Regina entering student who meets the following criteria:

Entering the Faculty of Engineering and Applied Science degree program in any Engineering discipline;
Registered and remains registered in a minimum of 9 credit hours in the semester the bursary is presented;
Demonstrated financial need; and
Self-declared Indigenous student (for one of the entrance bursaries).
Note: The student recipient must agree to have their contact information (phone number and email) shared with the Donor. The student recipient must be willing to be highlighted in the Donor's newsletter, website and other communications vehicles.",No,https://www.scholarshipscanada.com//Scholarships/71367/Association-of-Professional-Engineers-&-Geoscientists-of-Saskatchewan-(APEGS)-Entrance-Bursary-(Engineering),N/A,Any,Entering first year,Any School,"Aboriginal,Indigenous",University of Regina,"Electrical, Electronics and Communications Engineering, Engineering, General, Environmental Engineering Technology/Environmental Technology, Industrial Engineering, Petroleum Engineering",n/s,Full-time,Saskatchewan,N/A,n/s,Yes,Student Awards & Financial Aid,Scholarships@uregina.ca,(306) 585-5556,"210 Administration-Humanities Building, Regina, SK, Canada.  S4S 0A2"
21,Canada 150 Fund Graduate Student Scholarship,"$10,000","March 31, 2024","BCU Foundation is committed to fostering the development of future generations of scholars and young professionals who will flourish in their careers, make meaningful and lasting contributions to the development of their Ukrainian Canadian community, and continue the tradition of excellence set by Ukrainians in Canada.


In 2017 BCU Foundation launched the Canada 150 Fund in commemoration of Canada's 150th anniversary of Confederation. The Fund provides an annual scholarship for Ukrainian Canadian graduate students and young scholars pursuing a graduate degree, including Master's, MBA, PhD, or post-doctoral research at a recognized North American institution.",No,https://www.scholarshipscanada.com//Scholarships/72782/Canada-150-Fund-Graduate-Student-Scholarship,Any,Canada,All Years,Any School,Ukrainian,Any School,"Accounting, Business Administration and Management, General, Business/Commerce, General, Computer Science, Engineering, General, Finance, General�more, Physical Sciences, Social Sciences, General�less",Canada,Full-time,"Canada, United States",N/A,n/s,No,BCU Foundation,info@bcufoundation.com,416-763-3388,"2282 Bloor Street West, Toronto, ON, Canada.  M6S 1N9"
23,Association of Professional Engineers & Geoscientists of Saskatchewan (APEGS) Entrance Bursary (Engineering),"$4,000","March 15, 2024","1 bursary of $4,000.00 will be presented to an entering Engineering student and 1 bursary of $4,000.00 will be presented to an entering Engineering student with a preference to a student who is self-declared Indigenous.The bursary will be presented to the University of Regina entering student who meets the following criteria:

Entering the Faculty of Engineering and Applied Science degree program in any Engineering discipline;
Registered and remains registered in a minimum of 9 credit hours in the semester the bursary is presented;
Demonstrated financial need; and
Self-declared Indigenous student (for one of the entrance bursaries).
Note: The student recipient must agree to have their contact information (phone number and email) shared with the Donor. The student recipient must be willing to be highlighted in the Donor's newsletter, website and other communications vehicles.",No,https://www.scholarshipscanada.com//Scholarships/71367/Association-of-Professional-Engineers-&-Geoscientists-of-Saskatchewan-(APEGS)-Entrance-Bursary-(Engineering),N/A,Any,Entering first year,Any School,"Aboriginal,Indigenous",University of Regina,"Electrical, Electronics and Communications Engineering, Engineering, General, Environmental Engineering Technology/Environmental Technology, Industrial Engineering, Petroleum Engineering",n/s,Full-time,Saskatchewan,N/A,n/s,Yes,Student Awards & Financial Aid,Scholarships@uregina.ca,(306) 585-5556,"210 Administration-Humanities Building, Regina, SK, Canada.  S4S 0A2"
25,NANB/TD Meloche Monnex Centennial Doctoral Scholarship,"$10,000","March 15, 2024",Registered nurses in New Brunswick studying at the doctoral level from all domains of practice. Available only to New Brunswick residents who are registered on the practicing register of NANB. An individual may receive the Scholarship one time only.,No,https://www.scholarshipscanada.com//Scholarships/64945/NANB/TD-Meloche-Monnex-Centennial-Doctoral-Scholarship,N/A,Canada,All Years,Any School,N/A,Any School,"Family Practice Nurse/Nurse Practitioner, Nursing Science (MS, PhD), Nursing/Registered Nurse (RN, ASN, BSN, MSN)",New Brunswick,Full-time or Part-time,Canada,N/A,n/s,No,Canadian Nurses Foundation,info@cnf-fiic.ca,6136800879 x 221,"135 Michael Cowpland Drive Suite 105, Kanata, ON, Canada.  K2M 2E9"
26,Carolyn Sifton Research Grant,"$6,000","March 15, 2024",Open to all nurses with a focus in at risk youth.,No,https://www.scholarshipscanada.com//Scholarships/84204/Carolyn-Sifton-Research-Grant,N/A,Canada,All Years,Any School,N/A,Any School,"Family Practice Nurse/Nurse Practitioner, Nursing Science (MS, PhD), Nursing/Registered Nurse (RN, ASN, BSN, MSN)",n/s,Full-time or Part-time,Canada,N/A,n/s,No,Canadian Nurses Foundation,info@cnf-fiic.ca,6136800879 x 221,"135 Michael Cowpland Drive Suite 105, Kanata, ON, Canada.  K2M 2E9"
27,Association of Professional Engineers & Geoscientists of Saskatchewan (APEGS) Entrance Bursary (Engineering),"$4,000","March 15, 2024","1 bursary of $4,000.00 will be presented to an entering Engineering student and 1 bursary of $4,000.00 will be presented to an entering Engineering student with a preference to a student who is self-declared Indigenous.The bursary will be presented to the University of Regina entering student who meets the following criteria:

Entering the Faculty of Engineering and Applied Science degree program in any Engineering discipline;
Registered and remains registered in a minimum of 9 credit hours in the semester the bursary is presented;
Demonstrated financial need; and
Self-declared Indigenous student (for one of the entrance bursaries).
Note: The student recipient must agree to have their contact information (phone number and email) shared with the Donor. The student recipient must be willing to be highlighted in the Donor's newsletter, website and other communications vehicles.",No,https://www.scholarshipscanada.com//Scholarships/71367/Association-of-Professional-Engineers-&-Geoscientists-of-Saskatchewan-(APEGS)-Entrance-Bursary-(Engineering),N/A,Any,Entering first year,Any School,"Aboriginal,Indigenous",University of Regina,"Electrical, Electronics and Communications Engineering, Engineering, General, Environmental Engineering Technology/Environmental Technology, Industrial Engineering, Petroleum Engineering",n/s,Full-time,Saskatchewan,N/A,n/s,Yes,Student Awards & Financial Aid,Scholarships@uregina.ca,(306) 585-5556,"210 Administration-Humanities Building, Regina, SK, Canada.  S4S 0A2"
28,TD Insurance Indigenous Nursing Award,"$9,000","March 15, 2024",Open to all eligible Indigenous nurses studying at the doctoral level.,No,https://www.scholarshipscanada.com//Scholarships/64948/TD-Insurance-Indigenous-Nursing-Award,N/A,Canada,All Years,Any School,"Aboriginal,First Nation,Indigenous",Any School,"Family Practice Nurse/Nurse Practitioner, Nursing Science (MS, PhD), Nursing/Registered Nurse (RN, ASN, BSN, MSN)",n/s,Full-time or Part-time,Canada,N/A,n/s,No,Canadian Nurses Foundation,info@cnf-fiic.ca,6136800879 x 221,"135 Michael Cowpland Drive Suite 105, Kanata, ON, Canada.  K2M 2E9"
29,NANB/TD Meloche Monnex Centennial Doctoral Scholarship,"$10,000","March 15, 2024",Registered nurses in New Brunswick studying at the doctoral level from all domains of practice. Available only to New Brunswick residents who are registered on the practicing register of NANB. An individual may receive the Scholarship one time only.,No,https://www.scholarshipscanada.com//Scholarships/64945/NANB/TD-Meloche-Monnex-Centennial-Doctoral-Scholarship,N/A,Canada,All Years,Any School,N/A,Any School,"Family Practice Nurse/Nurse Practitioner, Nursing Science (MS, PhD), Nursing/Registered Nurse (RN, ASN, BSN, MSN)",New Brunswick,Full-time or Part-time,Canada,N/A,n/s,No,Canadian Nurses Foundation,info@cnf-fiic.ca,6136800879 x 221,"135 Michael Cowpland Drive Suite 105, Kanata, ON, Canada.  K2M 2E9"
30,Carolyn Sifton Research Grant,"$6,000","March 15, 2024",Open to all nurses with a focus in at risk youth.,No,https://www.scholarshipscanada.com//Scholarships/84204/Carolyn-Sifton-Research-Grant,N/A,Canada,All Years,Any School,N/A,Any School,"Family Practice Nurse/Nurse Practitioner, Nursing Science (MS, PhD), Nursing/Registered Nurse (RN, ASN, BSN, MSN)",n/s,Full-time or Part-time,Canada,N/A,n/s,No,Canadian Nurses Foundation,info@cnf-fiic.ca,6136800879 x 221,"135 Michael Cowpland Drive Suite 105, Kanata, ON, Canada.  K2M 2E9"
31,Frances Moran Award,"$7,500","March 15, 2024",Open to all nursing students in a Doctoral nursing program.,No,https://www.scholarshipscanada.com//Scholarships/84203/Frances-Moran-Award,N/A,Canada,All Years,Any School,N/A,Any School,"Family Practice Nurse/Nurse Practitioner, Nursing Science (MS, PhD), Nursing/Registered Nurse (RN, ASN, BSN, MSN)",n/s,Full-time or Part-time,Canada,N/A,n/s,No,Canadian Nurses Foundation,info@cnf-fiic.ca,6136800879 x 221,"135 Michael Cowpland Drive Suite 105, Kanata, ON, Canada.  K2M 2E9"
32,Dr. Dorothy J. Kergin Fellowship,"$15,000","March 15, 2024","Open to all eligible students at the master and doctorate level. Doctorate prize: $10,000; Master's prize: $5000.",No,https://www.scholarshipscanada.com//Scholarships/64940/Dr.-Dorothy-J.-Kergin-Fellowship,N/A,Canada,All Years,Any School,N/A,Any School,"Family Practice Nurse/Nurse Practitioner, Nursing Administration (MSN, MS, PhD), Nursing Science (MS, PhD), Nursing/Registered Nurse (RN, ASN, BSN, MSN)",n/s,Full-time or Part-time,Canada,N/A,n/s,No,Canadian Nurses Foundation,info@cnf-fiic.ca,6136800879 x 221,"135 Michael Cowpland Drive Suite 105, Kanata, ON, Canada.  K2M 2E9"
